Epoch,Generator Loss,Critic Loss,Wasserstein Distance,Gradient Penalty,D_real,D_fake,Gen_Acc,Critic_Acc
1,-0.001852031,0.06027741,-0.010532952,0.009948892,-0.007995828,0.002537124,8.90334902,48.04665811
2,0.00583263,0.219944522,-0.01126362,0.041736178,-0.033505023,-0.022241402,8.823508454,48.2052235
3,-0.010903329,0.043957185,-0.009176838,0.006956069,0.00661593,0.015792768,8.603385365,48.99491144
4,-0.015782069,0.088327728,-0.012160628,0.01523342,0.001653515,0.013814143,8.939926484,48.57313873
5,-0.027315322,0.05998094,-0.006582092,0.010679769,0.019021504,0.025603596,8.942292848,48.42678782
6,-0.016742736,0.028853659,-0.010269697,0.003716792,0.011811835,0.022081532,8.730237972,49.05858625
7,-0.036188986,0.016238976,-0.005518224,0.00214415,0.039787319,0.045305543,8.893198876,48.82662842
8,-0.016862342,0.014043152,-0.009840694,0.000840492,0.00392149,0.013762184,8.852746381,48.67743611
9,-0.014469356,0.067279428,-0.009575522,0.011540781,0.005275161,0.014850683,8.222560707,50.32836734
10,-0.00373248,0.098799087,-0.009295711,0.017900676,-0.006989958,0.002305752,8.424107699,48.76220147
11,-0.014691381,0.045242175,-0.010122487,0.007023938,0.002133497,0.012255984,8.322230926,49.14925579
12,-0.016456865,0.025028983,-0.005176192,0.003970558,0.001735452,0.006911644,8.315705101,49.4424649
13,-0.005026166,0.076438449,-0.009100021,0.013467686,-0.001358531,0.007741489,8.561194019,48.98482874
14,-0.040076159,0.038722895,-0.010052176,0.005734144,0.017915741,0.027967917,7.998609505,49.43864412
15,-0.006987242,0.011498818,-0.007143552,0.000871053,0.004854078,0.01199763,8.618995445,48.44955563
16,0.005026935,0.036571715,-0.004775275,0.006359288,-0.011368065,-0.006592791,8.464988308,48.86727591
17,0.009013501,0.136084095,-0.00252213,0.026712393,-0.02454862,-0.02202649,7.84959167,48.69560462
18,0.004307466,0.010600323,-0.004228887,0.001274287,-0.00607873,-0.001849843,7.003652028,49.79137738
19,0.01136609,0.004525857,-0.003286566,0.000247858,-0.014931754,-0.011645189,7.549581099,49.58130767
